"location","indicator","measure","Unit","Date","Value"
"Arkansas","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","27"
"Arkansas","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","41"
"Arkansas","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","38"
"Arkansas","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","836"
"California","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","107000"
"California","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","44"
"California","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","33"
"California","Adults with AMI who are Uninsured","Number","Number","2017","675000"
"California","Adults with AMI who are Uninsured","Percentage","%","2017","13.3"
"California","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","630000"
"California","Adults with AMI Reporting Unmet Need","Number","Number","2017","922000"
"California","Adults with AMI Reporting Unmet Need","Percentage","%","2017","18.2"
"California","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","1006308"
"California","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","18.46"
"California","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","65"
"California","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","47000"
"California","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","21.5"
"California","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","61.2"
"California","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","8.1"
"California","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","4.23"
"California","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","233000"
"California","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","25"
"California","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","47"
"California","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","11"
"California","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","31"
"California","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","21"
"California","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","36"
"California","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","30"
"California","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","8"
"California","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","350"
"California","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","24199"
"Colorado","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","133762"
"Colorado","Adults with AMI Reporting Unmet Need","Percentage","%","2017","21.8"
"Colorado","Adults with AMI Reporting Unmet Need","Number","Number","2017","163000"
"Colorado","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","36000"
"Colorado","Adults with AMI who are Uninsured","Number","Number","2017","66000"
"Colorado","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","62.1"
"Colorado","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","30.3"
"Colorado","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","9000"
"Colorado","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.11"
"Colorado","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","6.9"
"Colorado","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","15000"
"Colorado","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","21"
"Colorado","Adults with AMI who are Uninsured","Percentage","%","2017","8.7"
"Colorado","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","57.3"
"Colorado","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","28"
"Colorado","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","45000"
"Colorado","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","17.3"
"Colorado","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","14"
"Colorado","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","8"
"Colorado","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","350"
"Colorado","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","35"
"Colorado","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","35"
"Colorado","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","12"
"Colorado","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","5624"
"Colorado","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","22"
"Colorado","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","17"
"Colorado","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","9"
"Connecticut","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","48.6"
"Connecticut","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","5000"
"Connecticut","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","25.6"
"Connecticut","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","4000"
"Connecticut","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","17.53"
"Connecticut","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","17"
"Connecticut","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","12000"
"Connecticut","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","33"
"Connecticut","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","310"
"Connecticut","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","2.7"
"Connecticut","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","15"
"Connecticut","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","12"
"Connecticut","Adults with AMI Reporting Unmet Need","Percentage","%","2017","21.5"
"Connecticut","Adults with AMI Reporting Unmet Need","Number","Number","2017","102000"
"Connecticut","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","5395"
"Connecticut","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","193000"
"Connecticut","Adults with AMI who are Uninsured","Percentage","%","2017","9.3"
"Connecticut","Adults with AMI who are Uninsured","Number","Number","2017","44000"
"Connecticut","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","1"
"Connecticut","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","11.08"
"Connecticut","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","10"
"Connecticut","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","2"
"Connecticut","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","5"
"Connecticut","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","24"
"Connecticut","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","93597"
"Connecticut","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","52.5"
"Connecticut","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","10"
"Delaware","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","26.5"
"Delaware","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","17"
"Delaware","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","10"
"Delaware","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","30"
"Delaware","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","23"
"Delaware","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","14"
"Delaware","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","26"
"Delaware","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","21"
"Delaware","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","10"
"Delaware","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","20"
"Delaware","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","6.9"
"Delaware","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","3000"
"Delaware","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","1000"
"Delaware","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","58.8"
"Delaware","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","28943"
"Delaware","Adults with AMI who are Uninsured","Number","Number","2017","15000"
"Delaware","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","460"
"Delaware","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","6.71"
"Delaware","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","4"
"Delaware","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","821"
"Delaware","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","4000"
"Delaware","Adults with AMI who are Uninsured","Percentage","%","2017","11.1"
"Delaware","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","19.48"
"Delaware","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","50.6"
"Delaware","Adults with AMI Reporting Unmet Need","Number","Number","2017","23000"
"Delaware","Adults with AMI Reporting Unmet Need","Percentage","%","2017","17"
"Delaware","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","1557000"
"District of Columbia","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","44"
"District of Columbia","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","44"
"District of Columbia","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","2"
"District of Columbia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","6.7"
"District of Columbia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","1000"
"District of Columbia","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","15.9"
"District of Columbia","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","230"
"District of Columbia","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","64.1"
"District of Columbia","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","1000"
"District of Columbia","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","14.19"
"District of Columbia","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","13597"
"District of Columbia","Adults with AMI Reporting Unmet Need","Percentage","%","2017","25.2"
"District of Columbia","Adults with AMI Reporting Unmet Need","Number","Number","2017","26000"
"District of Columbia","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","2"
"District of Columbia","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","1890000"
"District of Columbia","Adults with AMI who are Uninsured","Percentage","%","2017","4.9"
"District of Columbia","Adults with AMI who are Uninsured","Number","Number","2017","5000"
"District of Columbia","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","885"
"District of Columbia","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","1000"
"District of Columbia","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","58.7"
"District of Columbia","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","21"
"District of Columbia","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","6"
"District of Columbia","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","32"
"District of Columbia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","21"
"District of Columbia","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","14.36"
"District of Columbia","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","51"
"District of Columbia","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","7"
"Florida","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","593000"
"Florida","Adults with AMI who are Uninsured","Percentage","%","2017","21"
"Florida","Adults with AMI who are Uninsured","Number","Number","2017","533000"
"Florida","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","44"
"Florida","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","43"
"Florida","Adults with AMI Reporting Unmet Need","Number","Number","2017","464000"
"Florida","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","61.7"
"Florida","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","9"
"Florida","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","750"
"Florida","Adults with Disability who Could Not See a Doctor Due to Costs","Rank","Rank,1=Highest mental health provider","2017","47"
"Florida","Mental Health Workforce Availability","Rank","Rank,1=Highest mental health provider","2017","43"
"Florida","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","48"
"Florida","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","47"
"Florida","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","6.55"
"Florida","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Percentage","%","2017","10.1"
"Florida","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","42"
"Florida","Adults with AMI Reporting Unmet Need","Percentage","%","2017","18.3"
"Florida","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Number","Number","2017","52000"
"Florida","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","40"
"Florida","Youth with Severe MDE who Received Some Consistent Treatment","Percentage","%","2017","18.2"
"Florida","Youth with Severe MDE who Received Some Consistent Treatment","Number","Number","2017","19000"
"Florida","Youth with MDE who Did Not Receive Mental Health Services","Percentage","%","2017","66.8"
"Florida","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","32"
"Florida","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","875479"
"Florida","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","106000"
"Florida","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","27.11"
"Florida","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","16333"
"Georgia","Adults with AMI who Did Not Receive Treatment","Percentage","%","2017","57.3"
"Georgia","Students Identified with Emotional Disturbance for an Individualized Education Program","Number","Number","2017","11546"
"Georgia","Adults with AMI who are Uninsured","Rank","Rank,1=Highest mental health provider","2017","42"
"Georgia","Youth with Severe MDE who Received Some Consistent Treatment","Rank","Rank,1=Highest mental health provider","2017","50"
"Georgia","Access to Care Ranking","Rank","Rank,1=Highest mental health provider","2017","43"
"Georgia","Students Identified with Emotional Disturbance for an Individualized Education Program","Rate per 1K Students","per 1000 students","2017","7.38"
"Georgia","Mental Health Workforce Availability","Ratio","Population per mental health provider","2017","900"
"Georgia","Adults with AMI Reporting Unmet Need","Rank","Rank,1=Highest mental health provider","2017","16"
"Georgia","Students Identified with Emotional Disturbance for an Individualized Education Program","Rank","Rank,1=Highest mental health provider","2017","25"
"Georgia","Adults with AMI who Did Not Receive Treatment","Number","Number","2017","946000"
"Georgia","Children with Private Insurance that Did Not Cover Mental or Emotional Problems","Rank","Rank,1=Highest mental health provider","2017","36"
"Georgia","Youth with MDE who Did Not Receive Mental Health Services","Rank","Rank,1=Highest mental health provider","2017","38"
"Georgia","Adults with AMI who Did Not Receive Treatment","Rank","Rank,1=Highest mental health provider","2017","35"
"Georgia","Adults with AMI Reporting Unmet Need","Percentage","%","2017","19.3"
"Georgia","Adults with Disability who Could Not See a Doctor Due to Costs","Number","Number","2017","407162"
"Georgia","Adults with Disability who Could Not See a Doctor Due to Costs","Percentage","%","2017","26.96"
"Georgia","Adults with AMI Reporting Unmet Need","Number","Number","2017","255000"
"Georgia","Youth with MDE who Did Not Receive Mental Health Services","Number","Number","2017","46000"
